[Epoch 058] Train Loss=0.0104 | Val Loss=0.2309 | Train Acc=0.9954 | Val Acc=0.8750

[Epoch 059] Train Loss=0.0070 | Val Loss=0.1081 | Train Acc=0.9973 | Val Acc=0.9375

[Epoch 060] Train Loss=0.0087 | Val Loss=0.2612 | Train Acc=0.9973 | Val Acc=0.9375

[Epoch 061] Train Loss=0.0047 | Val Loss=0.5443 | Train Acc=0.9983 | Val Acc=0.8125

[Epoch 062] Train Loss=0.0126 | Val Loss=0.2025 | Train Acc=0.9958 | Val Acc=0.9375

[Epoch 063] Train Loss=0.0085 | Val Loss=0.1361 | Train Acc=0.9965 | Val Acc=0.8750

[Epoch 064] Train Loss=0.0125 | Val Loss=0.0785 | Train Acc=0.9960 | Val Acc=0.9375

[Epoch 065] Train Loss=0.0082 | Val Loss=0.0595 | Train Acc=0.9969 | Val Acc=0.9375

[Epoch 066] Train Loss=0.0075 | Val Loss=0.2523 | Train Acc=0.9979 | Val Acc=0.8750

[Epoch 067] Train Loss=0.0040 | Val Loss=1.2751 | Train Acc=0.9988 | Val Acc=0.6250

[Epoch 068] Train Loss=0.0064 | Val Loss=0.0114 | Train Acc=0.9981 | Val Acc=1.0000

[Epoch 069] Train Loss=0.0054 | Val Loss=0.0947 | Train Acc=0.9975 | Val Acc=0.9375

[Epoch 070] Train Loss=0.0066 | Val Loss=0.1205 | Train Acc=0.9971 | Val Acc=0.9375

[Epoch 071] Train Loss=0.0050 | Val Loss=0.0008 | Train Acc=0.9985 | Val Acc=1.0000

[Epoch 072] Train Loss=0.0096 | Val Loss=0.3429 | Train Acc=0.9967 | Val Acc=0.8125

[Epoch 073] Train Loss=0.0150 | Val Loss=0.0225 | Train Acc=0.9946 | Val Acc=1.0000

[Epoch 074] Train Loss=0.0086 | Val Loss=0.0226 | Train Acc=0.9973 | Val Acc=1.0000

[Epoch 075] Train Loss=0.0074 | Val Loss=0.0706 | Train Acc=0.9979 | Val Acc=0.9375

[Epoch 076] Train Loss=0.0081 | Val Loss=0.1375 | Train Acc=0.9965 | Val Acc=0.8750

[Epoch 077] Train Loss=0.0089 | Val Loss=0.0685 | Train Acc=0.9964 | Val Acc=1.0000

[Epoch 078] Train Loss=0.0046 | Val Loss=0.2663 | Train Acc=0.9985 | Val Acc=0.8750

[Epoch 079] Train Loss=0.0146 | Val Loss=0.3055 | Train Acc=0.9950 | Val Acc=0.8750

[Epoch 080] Train Loss=0.0080 | Val Loss=0.1731 | Train Acc=0.9969 | Val Acc=0.9375

[Epoch 081] Train Loss=0.0104 | Val Loss=0.1524 | Train Acc=0.9964 | Val Acc=0.9375

[Epoch 082] Train Loss=0.0082 | Val Loss=0.2097 | Train Acc=0.9969 | Val Acc=0.9375

[Epoch 083] Train Loss=0.0045 | Val Loss=0.2012 | Train Acc=0.9985 | Val Acc=0.9375

[Epoch 084] Train Loss=0.0046 | Val Loss=0.2471 | Train Acc=0.9987 | Val Acc=0.9375

[Epoch 085] Train Loss=0.0028 | Val Loss=0.2013 | Train Acc=0.9990 | Val Acc=0.9375

[Epoch 086] Train Loss=0.0011 | Val Loss=0.1475 | Train Acc=0.9996 | Val Acc=0.9375

[Epoch 087] Train Loss=0.0075 | Val Loss=0.1019 | Train Acc=0.9975 | Val Acc=0.9375

[Epoch 088] Train Loss=0.0054 | Val Loss=0.0153 | Train Acc=0.9985 | Val Acc=1.0000

[Epoch 089] Train Loss=0.0041 | Val Loss=0.1501 | Train Acc=0.9988 | Val Acc=0.9375

[Epoch 090] Train Loss=0.0039 | Val Loss=0.0546 | Train Acc=0.9988 | Val Acc=1.0000

[Epoch 091] Train Loss=0.0144 | Val Loss=0.0453 | Train Acc=0.9948 | Val Acc=1.0000

[Epoch 092] Train Loss=0.0068 | Val Loss=0.4864 | Train Acc=0.9979 | Val Acc=0.8750

[Epoch 093] Train Loss=0.0052 | Val Loss=0.7745 | Train Acc=0.9977 | Val Acc=0.7500

[Epoch 094] Train Loss=0.0047 | Val Loss=0.6391 | Train Acc=0.9983 | Val Acc=0.8750

[Epoch 095] Train Loss=0.0064 | Val Loss=0.1062 | Train Acc=0.9971 | Val Acc=0.9375

[Epoch 096] Train Loss=0.0026 | Val Loss=0.3396 | Train Acc=0.9992 | Val Acc=0.8750

[Epoch 097] Train Loss=0.0102 | Val Loss=0.6372 | Train Acc=0.9975 | Val Acc=0.8750

[Epoch 098] Train Loss=0.0034 | Val Loss=0.0766 | Train Acc=0.9985 | Val Acc=0.9375

[Epoch 099] Train Loss=0.0070 | Val Loss=0.0051 | Train Acc=0.9979 | Val Acc=1.0000

[Epoch 100] Train Loss=0.0071 | Val Loss=0.0189 | Train Acc=0.9981 | Val Acc=1.0000
